Survey Year,Block ID,Indoor Seating,Outdoor Seating
2014,188,170,98
2014,189,NULL,NULL
2014,190,NULL,NULL
2014,191,NULL,NULL
2014,192,192,126
2014,193,256,92
2014,194,535,76
2014,195,60,20
2014,196,NULL,NULL
2014,197,80,NULL
2014,199,100,NULL
2014,200,1033,382
2014,201,NULL,NULL
2014,202,236,132
2014,203,145,69
2014,204,100,25
2014,209,NULL,NULL
2014,213,NULL,NULL
2014,215,216,60
2014,301,NULL,NULL
2014,302,NULL,NULL
2014,303,NULL,NULL
2014,304,NULL,NULL
2014,305,NULL,NULL
2014,306,470,90
2014,307,200,240
2014,309,227,114
2014,310,50,NULL
2014,314,NULL,30
2014,316,NULL,NULL
2014,317,NULL,NULL
2014,318,NULL,NULL
2014,319,NULL,NULL
2014,320,280,20
2014,321,NULL,NULL
2014,322,NULL,NULL
2014,323,NULL,NULL
2014,324,NULL,NULL
2014,325,250,NULL
2014,327,NULL,NULL
